Subject,Session,SessionRS
sub-A00043240,ses-V2,ses-DS2
sub-A00043282,ses-V2,ses-DS2
sub-A00043283,ses-V2,ses-DS2
sub-A00043324,ses-V2,ses-DS2
sub-A00043325,ses-V2,ses-DS2
sub-A00043384,ses-V2,ses-DS2
sub-A00043417,ses-V2,ses-DS2
sub-A00043450,ses-V2,ses-DS2
sub-A00043462,ses-V2,ses-DS2
sub-A00043466,ses-V2,ses-DS2
sub-A00043509,ses-V2,ses-DS2
sub-A00043520,ses-V2,ses-DS2
sub-A00043617,ses-V2,ses-DS2
sub-A00043634,ses-V2,ses-DS2
sub-A00043635,ses-V2,ses-DS2
sub-A00043649,ses-V2,ses-DS2
sub-A00043739,ses-V2,ses-DS2
sub-A00043740,ses-V2,ses-CLG2
sub-A00043758,ses-V2,ses-DS2
sub-A00043762,ses-V2,ses-DS2
sub-A00043788,ses-V2,ses-CLG2
sub-A00043790,ses-V2,ses-DS2
sub-A00044011,ses-V2,ses-DS2
sub-A00044012,ses-V2,ses-DS2
sub-A00044068,ses-V2,ses-DS2
sub-A00044084,ses-V2,ses-DS2
sub-A00044130,ses-V2,ses-DS2
sub-A00044131,ses-V2,ses-DS2
sub-A00044154,ses-V2,ses-DS2
sub-A00044171,ses-V2,ses-DS2
sub-A00044291,ses-V2,ses-DS2
sub-A00044307,ses-V2,ses-DS2
sub-A00044344,ses-V2,ses-DS2
sub-A00044345,ses-V2,ses-DS2
sub-A00044369,ses-V2,ses-DS2
sub-A00044370,ses-V2,ses-DS2
sub-A00044405,ses-V2,ses-DS2
sub-A00044408,ses-V2,ses-DS2
sub-A00044410,ses-V2,ses-DS2
sub-A00044427,ses-V2,ses-DS2
sub-A00045554,ses-V2,ses-DS2
sub-A00045589,ses-V2,ses-DS2
sub-A00050679,ses-V2,ses-DS2
sub-A00050720,ses-V2,ses-DS2
sub-A00050721,ses-V2,ses-DS2
sub-A00050742,ses-V2,ses-DS2
sub-A00050743,ses-V2,ses-CLG2
sub-A00050795,ses-V2,ses-DS2
sub-A00050848,ses-V2,ses-CLG2
sub-A00050977,ses-V2,ses-DS2
sub-A00050998,ses-V2,ses-DS2
sub-A00051063,ses-V2,ses-DS2
sub-A00051456,ses-V2,ses-DS2
sub-A00051457,ses-V2,ses-DS2
sub-A00051477,ses-V2,ses-DS2
sub-A00051513,ses-V2,ses-DS2
sub-A00051514,ses-V2,ses-DS2
sub-A00051517,ses-V2,ses-DS2
sub-A00051529,ses-V2,ses-DS2
sub-A00051604,ses-V2,ses-DS2
sub-A00051638,ses-V2,ses-DS2
sub-A00051658,ses-V2,ses-DS2
sub-A00051678,ses-V2,ses-DS2
sub-A00051679,ses-V2,ses-DS2
sub-A00051690,ses-V2,ses-DS2
sub-A00051726,ses-V2,ses-DS2
sub-A00051727,ses-V2,ses-CLG2
sub-A00051758,ses-V2,ses-DS2
sub-A00051774,ses-V2,ses-DS2
sub-A00051796,ses-V2,ses-DS2
sub-A00051835,ses-V2,ses-DS2
sub-A00051882,ses-V2,ses-ALGA
sub-A00051925,ses-V2,ses-DS2
sub-A00052070,ses-V2,ses-DS2
sub-A00052118,ses-V2,ses-DS2
sub-A00052126,ses-V2,ses-DS2
sub-A00052180,ses-V2,ses-DS2
sub-A00052182,ses-V2,ses-CLG5
sub-A00052183,ses-V2,ses-CLG2
sub-A00052197,ses-V2,ses-DS2
sub-A00052214,ses-V2,ses-DS2
sub-A00052234,ses-V2,ses-DS2
sub-A00052235,ses-V2,ses-NFB2
sub-A00052237,ses-V2,ses-CLG2
sub-A00052307,ses-V2,ses-DS2
sub-A00052319,ses-V2,ses-DS2
sub-A00052461,ses-V2,ses-CLG2
sub-A00052499,ses-V2,ses-DS2
sub-A00052502,ses-V2,ses-DS2
sub-A00052577,ses-V2,ses-DS2
sub-A00052613,ses-V2,ses-DS2
sub-A00052614,ses-V2,ses-DS2
sub-A00052639,ses-V2,ses-DS2
sub-A00053202,ses-V2,ses-DS2
sub-A00053369,ses-V2,ses-DS2
sub-A00053390,ses-V2,ses-CLG2
sub-A00053456,ses-V2,ses-DS2
sub-A00053474,ses-V2,ses-DS2
sub-A00053490,ses-V2,ses-CLG2
sub-A00053546,ses-V2,ses-DS2
sub-A00053576,ses-V2,ses-DS2
sub-A00053577,ses-V2,ses-DS2
sub-A00053578,ses-V2,ses-DS2
sub-A00053625,ses-V2,ses-DS2
sub-A00053626,ses-V2,ses-DS2
sub-A00053627,ses-V2,ses-DS2
sub-A00053744,ses-V2,ses-CLG2
sub-A00053854,ses-V2,ses-NFB2
sub-A00053874,ses-V2,ses-DS2
sub-A00053901,ses-V2,ses-DS2
sub-A00053927,ses-V2,ses-DS2
sub-A00053949,ses-V2,ses-DS2
sub-A00054038,ses-V2,ses-DS2
sub-A00054153,ses-V2,ses-DS2
sub-A00054173,ses-V2,ses-DS2
sub-A00054206,ses-V2,ses-CLG2
sub-A00054358,ses-V2,ses-DS2
sub-A00054482,ses-V2,ses-DS2
sub-A00054532,ses-V2,ses-DS2
sub-A00054533,ses-V2,ses-DS2
sub-A00054534,ses-V2,ses-DS2
sub-A00054621,ses-V2,ses-DS2
sub-A00054895,ses-V2,ses-ALGA
sub-A00054897,ses-V2,ses-DS2
sub-A00054913,ses-V2,ses-DS2
sub-A00054929,ses-V2,ses-DS2
sub-A00055061,ses-V2,ses-DS2
sub-A00055116,ses-V2,ses-DS2
sub-A00055122,ses-V2,ses-CLG2
sub-A00055215,ses-V2,ses-DS2
sub-A00055267,ses-V2,ses-CLG2
sub-A00055332,ses-V2,ses-DS2
sub-A00055352,ses-V2,ses-DS2
sub-A00055462,ses-V2,ses-CLG2
sub-A00055692,ses-V2,ses-DS2
sub-A00055867,ses-V2,ses-CLG2
sub-A00055906,ses-V2,ses-DS2
sub-A00055962,ses-V2,ses-DS2
sub-A00055991,ses-V2,ses-CLG2
sub-A00056099,ses-VA_ALG,ses-ALGA
sub-A00056138,ses-V2,ses-CLG2
sub-A00056295,ses-V2,ses-CLG2
sub-A00056372,ses-V2,ses-DS2
sub-A00056453,ses-V2,ses-DS2
sub-A00056470,ses-V2,ses-CLG2
sub-A00056489,ses-V2,ses-DS2
sub-A00056605,ses-V2,ses-CLG2
sub-A00056628,ses-V2,ses-DS2
sub-A00056703,ses-V2,ses-DS2
sub-A00056898,ses-V2,ses-NFB2
sub-A00056919,ses-V2,ses-DS2
sub-A00057183,ses-V2,ses-NFB2
sub-A00057203,ses-V2,ses-NFB2
sub-A00057405,ses-V2,ses-CLG2
sub-A00057406,ses-V2,ses-NFB2
sub-A00057445,ses-V2,ses-DS2
sub-A00058053,ses-V2,ses-CLG2
sub-A00058229,ses-V2,ses-CLG2
sub-A00058318,ses-V2,ses-DS2
sub-A00058436,ses-V2,ses-DS2
sub-A00058515,ses-V2,ses-NFB2
sub-A00058537,ses-V2,ses-CLG2
sub-A00058621,ses-V2,ses-NFB2
sub-A00058644,ses-V2,ses-DS2
sub-A00058685,ses-V2,ses-CLG2
sub-A00058998,ses-V2,ses-DS2
sub-A00059074,ses-V2,ses-NFB2
sub-A00059107,ses-V2,ses-DS2
sub-A00059325,ses-V2,ses-DS2
sub-A00059361,ses-V2,ses-DS2
sub-A00059527,ses-V2,ses-NFB2
sub-A00059663,ses-V2,ses-DS2
sub-A00059664,ses-V2,ses-DS2
sub-A00059865,ses-V2,ses-CLG2
sub-A00059935,ses-V2,ses-DS2
sub-A00059990,ses-VA,ses-DSA
sub-A00060005,ses-VA,ses-DSA
sub-A00060170,ses-V2,ses-DS2
sub-A00060184,ses-V2,ses-DS2
sub-A00060252,ses-V2,ses-DS2
sub-A00060264,ses-VA_ALG,ses-ALGA
sub-A00060280,ses-V2,ses-CLG2
sub-A00060301,ses-V2,ses-DS2
sub-A00060302,ses-V2,ses-NFB2
sub-A00060306,ses-V2,ses-DS2
sub-A00060384,ses-V2,ses-CLG2
sub-A00060431,ses-V2,ses-DS2
sub-A00060472,ses-V2,ses-CLG2
sub-A00060503,ses-V2,ses-CLG2
sub-A00060575,ses-V2,ses-DS2
sub-A00060602,ses-V2,ses-DS2
sub-A00060630,ses-V2,ses-DS2
sub-A00060664,ses-V2,ses-DS2
sub-A00060806,ses-V2,ses-CLG2
sub-A00060846,ses-V2,ses-DS2
sub-A00060923,ses-V2,ses-DS2
sub-A00061021,ses-V2,ses-DS2
sub-A00061203,ses-VA,ses-DSA
sub-A00061210,ses-VA,ses-DSA
sub-A00061274,ses-VA,ses-DSA
sub-A00061275,ses-VA,ses-DSA
sub-A00061281,ses-VA,ses-DSA
sub-A00061284,ses-VA,ses-DSA
sub-A00061298,ses-VA,ses-CLGA
sub-A00061483,ses-VA,ses-DSA
sub-A00061485,ses-VA,ses-DSA
sub-A00061597,ses-VA,ses-DSA
sub-A00061598,ses-VA,ses-DSA
sub-A00061600,ses-VA,ses-DSA
sub-A00061634,ses-VA,ses-DSA
sub-A00061647,ses-VA,ses-DSA
sub-A00061656,ses-VA,ses-DSA
sub-A00061666,ses-VA,ses-DSA
sub-A00061714,ses-VA,ses-CLGA
sub-A00061715,ses-VA,ses-DSA
sub-A00061725,ses-VA,ses-DSA
sub-A00061728,ses-VA,ses-DSA
sub-A00061749,ses-VA,ses-CLGA
sub-A00061767,ses-VA,ses-DSA
sub-A00061787,ses-VA,ses-DSA
sub-A00061790,ses-VA,ses-DSA
sub-A00061881,ses-VA,ses-DSA
sub-A00061882,ses-VA,ses-NFBA
sub-A00061883,ses-VA,ses-CLGA
sub-A00061923,ses-VA,ses-CLGA
sub-A00061962,ses-VA,ses-DSA
sub-A00062081,ses-VA,ses-CLGA
sub-A00062144,ses-VA,ses-DSA
